image,PSNR_dB,SSIM,LPIPS
000173,23.58385491982299,0.3122579089780706,0.2904831171035766
000174,24.14283117009668,0.3400759181765317,0.3042837381362915
000175,23.80654958174957,0.3230757949450682,0.304524689912796
000176,24.175149708758727,0.6946695012079305,0.2598835825920105
000177,26.103916593717468,0.3811289513282925,0.3381214737892151
000178,30.260695361046523,0.5435239966993332,0.6091188192367554
000179,26.201831965839524,0.3880521343310177,0.4295626282691955
000180,36.24557371998837,0.9332452706090212,0.2092842161655426
000181,28.600129588943556,0.750827152977705,0.2264356166124344
000182,27.690655166101724,0.7557143670984395,0.2286188304424286
000183,27.671495443488464,0.7464430568601871,0.208924114704132
000184,23.668393294271148,0.6714606059456826,0.2524278461933136
000185,32.65601634542708,0.9109973090460152,0.2104205787181854
000186,31.44501526563548,0.8983828741057366,0.1677586138248443
000187,31.773069306087635,0.9005060079246908,0.1609719693660736
000188,24.66216398042189,0.741596244714478,0.2765258550643921
000189,24.617777449879515,0.7752533142470937,0.2154593169689178
000190,24.91524108531177,0.7782938618803734,0.2017660439014434
000191,25.144096199565315,0.7682781927286498,0.1903912723064422
000192,28.24329271790875,0.9127993430016376,0.1880715787410736
000193,27.413778597895533,0.8913416011479907,0.0902938693761825
000194,28.151980660835537,0.8982988958126831,0.1032116711139679
000195,28.63684559125275,0.9049853569364548,0.1039268001914024
000196,24.48639886732215,0.6969448723736406,0.2893486022949219
000197,28.409458258160896,0.8095133777032671,0.3297575116157532
000198,27.80600867872205,0.7865708952968028,0.3205035924911499
000199,27.393843351116264,0.7767077016149033,0.2633978128433227
000200,26.8719906866158,0.4191923735290169,0.4300213158130646
000201,32.57728893487693,0.7340940955765247,0.4959258735179901
000202,33.35909199368031,0.7682206351838112,0.4464788436889648
000203,33.46118851462444,0.7541846649360656,0.4614772200584411
000204,23.95278801337181,0.860972828922674,0.182479590177536
000205,22.352776480398735,0.745802943389124,0.2216799408197403
000206,21.083361143492063,0.7023067721443793,0.2244660407304763
000207,21.64508845531988,0.7318893417077186,0.2332634627819061
000208,31.845142413409008,0.7389471078094244,0.4868414998054504
000209,32.37183369478209,0.7716741250455379,0.2986775040626526
000210,32.23810866555964,0.7623787064824105,0.2573521435260772
000211,31.546125481834068,0.7426705356049538,0.3828012943267822
000212,29.801429467627585,0.8938441765706837,0.1618231832981109
000213,36.034683858602925,0.9406129263539316,0.1315092146396637
000214,36.462023020068656,0.9293118770182132,0.110336922109127
000215,36.83723178373623,0.9534338679637908,0.1253871023654937
000216,29.804392867492563,0.8899574309134484,0.1591040343046188
000217,29.66901735198663,0.810613162918806,0.2234249711036682
000218,30.595663696194286,0.838739877366662,0.2237162739038467
000219,31.166862384688656,0.8562127051889896,0.2158845067024231
000220,33.65992811723933,0.7973980123238563,0.3301035463809967
000221,23.168505549870943,0.6824623832026965,0.3044851422309875
000222,24.495051727894257,0.7070324912189432,0.2917623519897461
000223,21.836283852777456,0.7582958139256823,0.2268038243055343
000224,24.50247851613412,0.4240289124143719,0.5883495211601257
000225,26.4578626145976,0.5172083016102901,0.4332579672336578
000226,25.074958161704156,0.4806035352765347,0.4315845072269439
000227,25.370090994471497,0.4813209011520091,0.4030751287937164
000228,18.47453970078955,0.7760017492244606,0.1344597935676574
000229,20.60969633597839,0.7493543990324947,0.2242097407579422
000230,20.40265148023738,0.7247119919815446,0.2667050957679748
000231,21.137798715117647,0.7275176896997271,0.2524461150169372
000232,21.60812754339621,0.7178697866383046,0.2922386825084686
